symbol,code,name,exchange,board,list_date,total_mv,float_mv,total_mv_bil,float_mv_bil,f2,f3,f6,f8
600470.SH,600470,六国化工,SH,主板,2004-03-05,3359104000.0,3359104000.0,33.59104,33.59104,6.44,10.09,468654734.0,14.28
600475.SH,600475,华光环能,SH,主板,2003-07-21,15104258518.0,14897594518.0,151.04258518,148.97594518,15.8,-0.25,207230171.0,1.39
600477.SH,600477,杭萧钢构,SH,主板,2003-11-10,6467277590.0,6467277590.0,64.6727759,64.6727759,2.73,0.0,76085153.0,1.18
600478.SH,600478,科力远,SH,主板,2003-09-18,10126488769.0,10126488769.0,101.26488769,101.26488769,6.08,2.7,186619375.0,1.85
600479.SH,600479,千金药业,SH,主板,2004-03-12,4415250084.0,4415250084.0,44.15250084,44.15250084,10.55,0.38,56003628.0,1.27
600480.SH,600480,凌云股份,SH,主板,2003-08-15,15035033867.0,14811192416.0,150.35033867,148.11192416,12.3,-0.24,205471348.0,1.38
600481.SH,600481,双良节能,SH,主板,2003-04-22,12104563102.0,12104563102.0,121.04563102,121.04563102,6.46,-1.67,499218888.0,4.11
600482.SH,600482,中国动力,SH,主板,2004-07-14,48765939391.0,48765939391.0,487.65939391,487.65939391,21.64,-0.87,356796768.0,0.73
600483.SH,600483,福能股份,SH,主板,2004-05-31,27050740794.0,27050740794.0,270.50740794,270.50740794,9.73,-0.71,243848787.0,0.9
600486.SH,600486,扬农化工,SH,主板,2002-04-25,27733337654.0,27636863820.0,277.33337654,276.3686382,68.41,-0.57,107923380.0,0.39
600487.SH,600487,亨通光电,SH,主板,2003-08-22,50814733934.0,50370731175.0,508.14733934,503.70731175,20.6,0.98,1042615820.0,2.05
600488.SH,600488,津药药业,SH,主板,2001-06-18,4531329722.0,4531329722.0,45.31329722,45.31329722,4.15,-0.24,29342412.0,0.65
600489.SH,600489,中金黄金,SH,主板,2003-08-14,114541995887.0,114541995887.0,1145.41995887,1145.41995887,23.63,-5.33,3194969313.0,2.76
600490.SH,600490,鹏欣资源,SH,主板,2003-06-26,18809540172.0,16937281781.0,188.09540172,169.37281781,8.5,-3.63,1622796124.0,9.68
600491.SH,600491,龙元建设,SH,主板,2004-05-24,5247069786.0,5247069786.0,52.47069786,52.47069786,3.43,1.18,54843682.0,1.05
600495.SH,600495,晋西车轴,SH,主板,2004-05-26,6113445883.0,6113445883.0,61.13445883,61.13445883,5.06,2.02,70807062.0,1.17
600496.SH,600496,精工钢构,SH,主板,2002-06-05,8537634315.0,8537634315.0,85.37634315,85.37634315,4.29,1.18,504543490.0,5.98
600497.SH,600497,驰宏锌锗,SH,主板,2004-04-20,33165703578.0,33165703578.0,331.65703578,331.65703578,6.58,-0.9,649531871.0,1.95
600498.SH,600498,烽火通信,SH,主板,2001-08-23,33300362595.0,30602917459.0,333.00362595,306.02917459,25.83,1.1,906667548.0,2.94
600499.SH,600499,科达制造,SH,主板,2002-10-10,22093705624.0,22093705624.0,220.93705624,220.93705624,11.52,0.96,174006907.0,0.79
600500.SH,600500,中化国际,SH,主板,2000-03-01,14820602439.0,14813164970.0,148.20602439,148.1316497,4.13,0.73,79584545.0,0.54
600501.SH,600501,航天晨光,SH,主板,2001-06-15,9168272606.0,9165658146.0,91.68272606,91.65658146,21.43,-3.56,350840539.0,3.81
600502.SH,600502,安徽建工,SH,主板,2003-04-15,8033378830.0,8033378830.0,80.3337883,80.3337883,4.68,0.65,78653434.0,0.98
600503.SH,600503,华丽家族,SH,主板,2002-07-09,5207442500.0,5207442500.0,52.074425,52.074425,3.25,-2.99,205004999.0,3.91
600505.SH,600505,西昌电力,SH,主板,2002-05-30,4928952600.0,4928952600.0,49.289526,49.289526,13.52,-0.22,86607058.0,1.76
600506.SH,600506,统一股份,SH,主板,2001-12-26,3993993827.0,3072302958.0,39.93993827,30.72302958,20.8,1.36,334039758.0,10.84
600507.SH,600507,方大特钢,SH,主板,2003-09-30,12398687090.0,12398687090.0,123.9868709,123.9868709,5.36,-0.56,80073429.0,0.65
600508.SH,600508,上海能源,SH,主板,2001-08-29,9431469900.0,9431469900.0,94.314699,94.314699,13.05,2.43,144049549.0,1.54
600509.SH,600509,天富能源,SH,主板,2002-02-28,11709865908.0,11709865908.0,117.09865908,117.09865908,8.52,0.47,464084874.0,3.98
600510.SH,600510,黑牡丹,SH,主板,2002-06-18,7894994746.0,7894994746.0,78.94994746,78.94994746,7.65,0.66,84373082.0,1.08
600511.SH,600511,国药股份,SH,主板,2002-11-27,21601420833.0,15842308119.0,216.01420833,158.42308119,28.63,0.0,105133547.0,0.66
600512.SH,600512,腾达建设,SH,主板,2002-12-26,4032341777.0,4016135062.0,40.32341777,40.16135062,2.53,0.8,61946780.0,1.54
600513.SH,600513,联环药业,SH,主板,2003-03-19,5797616844.0,5797616844.0,57.97616844,57.97616844,20.31,-1.12,435398582.0,7.49
600515.SH,600515,海南机场,SH,主板,2002-08-06,53127689649.0,42668458162.0,531.27689649,426.68458162,4.65,3.33,2064980055.0,4.81
600516.SH,600516,方大炭素,SH,主板,2002-08-30,21699980284.0,21699980284.0,216.99980284,216.99980284,5.39,4.05,511615374.0,2.39
600517.SH,600517,国网英大,SH,主板,2003-10-10,32251977596.0,32251977596.0,322.51977596,322.51977596,5.64,0.89,102794203.0,0.32
600518.SH,600518,康美药业,SH,主板,2001-03-19,28072660281.0,28059374942.0,280.72660281,280.59374942,2.03,0.5,340308970.0,1.21
600519.SH,600519,贵州茅台,SH,主板,2001-08-27,1825722314555.0,1825722314555.0,18257.22314555,18257.22314555,1457.93,0.2,3793283759.0,0.21
600520.SH,600520,三佳科技,SH,主板,2002-01-08,4323554700.0,4323554700.0,43.235547,43.235547,27.29,-0.29,54943141.0,1.27
600521.SH,600521,华海药业,SH,主板,2003-03-04,28672365114.0,28672365114.0,286.72365114,286.72365114,19.15,-0.62,433923693.0,1.51
600522.SH,600522,中天科技,SH,主板,2002-10-24,59112287973.0,59112287973.0,591.12287973,591.12287973,17.32,2.49,1680052822.0,2.83
600523.SH,600523,贵航股份,SH,主板,2001-12-27,5830169234.0,5826323420.0,58.30169234,58.2632342,14.42,0.84,121128982.0,2.06
600525.SH,600525,ST长园,SH,主板,2002-12-02,4497040318.0,4497040318.0,44.97040318,44.97040318,3.41,2.1,41379608.0,0.93
600526.SH,600526,菲达环保,SH,主板,2002-07-22,4692350995.0,3805243585.0,46.92350995,38.05243585,5.28,-0.19,56731807.0,1.5
600527.SH,600527,江南高纤,SH,主板,2003-11-27,4035002902.0,4035002902.0,40.35002902,40.35002902,2.33,2.19,134973438.0,3.36
